번호,진단축,진단축명,단계,단계명,분기계열,역채점,매칭축_매핑,문항텍스트
Q001,INT,흥미,1,1차 기본,ALL,,SW=1.0,컴퓨터 프로그램이나 앱을 직접 만들어 보는 일이 재미있다.
Q002,INT,흥미,1,1차 기본,ALL,,AI=1.0,인공지능·빅데이터 같은 최신 기술 분야에 호기심이 많다.
Q003,INT,흥미,1,1차 기본,ALL,,GAME=1.0,게임이 어떻게 만들어지는지 그 원리가 궁금하다.
Q004,INT,흥미,1,1차 기본,ALL,,SEC=1.0,해킹 사례나 사이버 보안 관련 뉴스에 자주 관심이 간다.
Q005,INT,흥미,1,1차 기본,ALL,,NET=1.0,인터넷·5G·무선통신이 어떻게 작동하는지 알고 싶다.
Q006,INT,흥미,1,1차 기본,ALL,,SYS=1.0,컴퓨터 서버나 데이터베이스 운영 방식에 관심이 있다.
Q007,INT,흥미,1,1차 기본,ALL,,HW=1.0,전자제품 내부 회로나 반도체에 관심이 많다.
Q008,INT,흥미,1,1차 기본,ALL,,EMB=1.0,드론·로봇·사물인터넷(IoT) 기기를 직접 다뤄보고 싶다.
Q009,INT,흥미,1,1차 기본,ALL,,MECH=1.0,자동차·기계·로봇이 어떻게 설계되는지 궁금하다.
Q010,INT,흥미,1,1차 기본,ALL,,ELEC=1.0,전기·전력 시스템이나 신재생 에너지 분야에 관심이 있다.
Q011,INT,흥미,1,1차 기본,ALL,,CIVIL=1.0,건물·도로·교량 같은 토목·건설 분야에 흥미가 있다.
Q012,INT,흥미,1,1차 기본,ALL,,INDUST=1.0,공장의 생산·품질·물류 관리 분야에 관심이 있다.
Q013,INT,흥미,1,1차 기본,ALL,,BIZ=1.0,기업 경영·마케팅·창업 이야기에 관심이 많다.
Q014,INT,흥미,1,1차 기본,ALL,,ACC=1.0,회계·세무·재무 관련 분야에 흥미가 있다.
Q015,INT,흥미,1,1차 기본,ALL,,ADMIN=1.0,공무원·공기업 같은 행정 업무 분야에 관심이 있다.
Q016,INT,흥미,1,1차 기본,ALL,,SERVICE=1.0,항공·호텔·관광 같은 서비스 산업에 흥미가 있다.
